"Esbati","Ali","V","Stockholms län","1976","Man"
"Eskilandersson","Mikael","SD","Gävleborgs län","1977","Man"
"Felten","Olle","SD","Södermanlands län","1953","Man"
"Ferm","Maria","MP","Stockholms kommun","1985","Kvinna"
"Filper","Runar","SD","Östergötlands län","1964","Man"
"Finnborg","Thomas","M","Skåne läns västra","1954","Man"
"Finstorp","Lotta","M","Södermanlands län","1958","Kvinna"
"Forsberg","Anders","SD","Malmö kommun","1974","Man"
"Forslund","Kenneth G","S","Västra Götalands läns västra","1967","Man"
"Forssell","Johan","M","Stockholms kommun","1979","Man"
"Forssmed","Jakob","KD","Stockholms län","1974","Man"
"Fransson","Josef","SD","Uppsala län","1978","Man"
"Fridolin","Gustav","MP","Skåne läns norra och östra","1983","Man"
"From","Isak","S","Västerbottens län","1967","Man"
"Fölster","Sofia","M","Stockholms län","1991","Kvinna"
"Gamov","Pavel","SD","Skåne läns södra","1989","Man"
"Ghasemi","Tina","M","Stockholms kommun","1985","Kvinna"
"Gille","Agneta","S","Uppsala län","1956","Kvinna"
"Granlund","Marie","S","Malmö kommun","1962","Kvinna"
"Green","Mats","M","Jönköpings län","1979","Man"
"Green","Monica","S","Västra Götalands läns östra","1959","Kvinna"
"Gunnarsson","Jonas","S","Värmlands län","1980","Man"
"Gunther","Penilla","KD","Västra Götalands läns norra","1964","Kvinna"
"Güclü Hedin","Roza","S","Dalarnas län","1982","Kvinna"
"Haddad","Roger","FP","Västmanlands län","1978","Man"
"Hagwall","Anna","SD","Västerbottens län","1953","Kvinna"
"Haider","Monica","S","Kronobergs län","1963","Kvinna"
"Halef","Robert","KD","Stockholms län","1964","Man"
"Hallengren","Lena","S","Kalmar län","1973","Kvinna"
"Hallström","Pia","M","Värmlands län","1961","Kvinna"
"Hamednaca","Arhe","S","Stockholms kommun","1953","Man"
"Hammar Johnsson","Ann-Charlotte","M","Skåne läns västra","1966","Kvinna"
"Hammarbergh","Krister","M","Norrbottens län","1963","Man"
"Hannah","Robert","FP","Göteborgs kommun","1985","Man"
"Hansson","Anders","M","Skåne läns södra","1976","Man"
"Haraldsson","Johanna","S","Jönköpings län","1980","Kvinna"
"Hedin","Johan","C","Stockholms kommun","1969","Man"
"Hedlund","Roger","SD","Stockholms län","1979","Man"
"Hellman","Jörgen","S","Västra Götalands läns norra","1963","Man"
"Helmersson Olsson","Caroline","S","Södermanlands län","1963","Kvinna"
"Henriksson","Emma","KD","Stockholms län","1977","Kvinna"
"Henriksson","Stig","V","Västmanlands län","1955","Man"
